NAME,GP,ROLE,COUNTRY,FIBA_CLASS,FIBA_YEAR,POSS,PTS,PPP,AST,TO,FG%,3FG_ATT,3FG%,EFG%,TOT_REB,FT_ATT,FT%,STL_BLK,AST_TO,PTS/G_career,AST_career,TRB_career,STL_BLK_career,G_career,PER_career,best_season,bestteam,bestconf,PTS/G_best,AST_best,TRB_best,STL_BLK_best,PER_best,made_d1,bestteam_rank,team_mult,conf_mult,league_adj_best
Yvonne Ejim,2,,Canada,U19,2019,1.5,1.0,0.667,0.0,0.0,33.3%,0.0,-,33.3%,3.0,0.0,-,0.5,-,14.8,1.6,7.1,2.1,161.0,18.0,2023-24,Gonzaga,WCC,19.7,2.3,8.7,2.4,25.1,1.0,43.5,1.049125,1.02,26.85969825
Yvonne Ejim,7,Slashing wing,Canada,U19,2021,14.9,13.4,0.904,1.6,2.3,46.8%,0.6,0.0%,46.8%,9.3,3.6,88.0%,2.7,0.69,14.8,1.6,7.1,2.1,161.0,18.0,2023-24,Gonzaga,WCC,19.7,2.3,8.7,2.4,25.1,1.0,43.5,1.049125,1.02,26.85969825
Aaliyah Edwards,7,Slashing wing,Canada,U19,2019,13.1,11.1,0.848,1.7,2.1,47.5%,0.4,33.3%,48.4%,6.6,4.9,55.9%,1.7,0.80,13.4,1.7,7.3,2.2,139.0,17.6,2023-24,UConn,Big East,17.6,2.1,9.2,2.7,23.1,1.0,1.5,1.059625,1.05,25.701204375000003
Avery Howell,7,Dynamic shooting wing,Canada,U19,2025,11.0,14.3,1.299,1.7,0.9,53.3%,5.3,48.6%,68.3%,3.4,3.3,78.3%,1.6,2.00,10.7,1.1,5.5,1.4,68.0,13.5,2025-26,Washington,Big Ten,14.2,1.4,8.3,1.8,19.1,1.0,48.5,1.047875,1.12,22.416142
Toby Fournier,7,Rim-finishing big,Canada,U17,2022,15.0,13.3,0.886,1.3,0.7,45.6%,0.0,-,45.6%,11.3,6.6,45.7%,3.9,1.80,15.3,0.8,6.6,2.4,71.0,15.8,2025-26,Duke,ACC,17.3,1.2,7.9,3.1,18.8,1.0,16.5,1.055875,1.12,22.232504
Toby Fournier,7,Rim-finishing big,Canada,U19,2023,17.4,16.1,0.926,1.3,1.6,50.0%,0.0,-,50.0%,13.3,7.3,45.1%,2.6,0.82,15.3,0.8,6.6,2.4,71.0,15.8,2025-26,Duke,ACC,17.3,1.2,7.9,3.1,18.8,1.0,16.5,1.055875,1.12,22.232504
Achol Akot,7,Playmaking big,Canada,U19,2023,4.1,2.6,0.621,1.3,1.6,46.2%,0.0,-,46.2%,5.9,1.4,60.0%,0.7,0.82,8.3,1.6,6.6,1.7,91.0,12.6,2025-26,Oklahoma St.,Big 12,12.4,1.8,7.2,2.3,18.0,1.0,36.5,1.050875,1.13,21.374797499999996
Cearah Parchment,6,Spot-up shooting wing,Canada,U16,2019,12.8,9.7,0.753,2.2,1.0,34.3%,5.5,18.2%,38.8%,6.3,1.3,75.0%,4.5,2.17,13.6,1.4,8.4,2.2,34.0,18.2,2025-26,Illinois,Big Ten,13.6,1.4,8.4,2.2,18.2,1.0,93.5,1.036625,1.12,21.130564
Cearah Parchment,7,Dynamic shooting wing,Canada,U17,2024,10.6,3.9,0.365,2.1,2.1,19.6%,2.9,0.0%,19.6%,5.4,0.9,83.3%,1.6,1.00,13.6,1.4,8.4,2.2,34.0,18.2,2025-26,Illinois,Big Ten,13.6,1.4,8.4,2.2,18.2,1.0,93.5,1.036625,1.12,21.130564
Cearah Parchment,7,Stretch big,Canada,U19,2025,8.7,8.1,0.934,2.6,1.0,42.2%,2.3,31.3%,47.8%,6.0,2.6,77.8%,1.6,2.57,13.6,1.4,8.4,2.2,34.0,18.2,2025-26,Illinois,Big Ten,13.6,1.4,8.4,2.2,18.2,1.0,93.5,1.036625,1.12,21.130564
